Id|ExportNaarOrafin|NaamAflopend sorteren|Alternatieve naam subsidieregister
DVR000001774|True|Subsidiëring centra voor kortverblijf voor ouderen|Subsidiëring centra voor kortverblijf voor ouderen
DVR000001775|True|Tegemoetkoming voor ex-gesco bij ouderenvoorzieningen|Tegemoetkoming voor ex-gesco bij ouderenvoorzieningen
DVR000001776|True|Tegemoetkoming voor ex-dac bij ouderenvoorzieningen|Tegemoetkoming voor ex-dac bij ouderenvoorzieningen
DVR000001777|True|Projectsubsidies ouderenzorg|Projectsubsidies ouderenzorg
DVR000001778|True|Subsidies aan netwerken voor de zorg voor dementerende personen en hun omgeving|Subsidies aan netwerken voor de zorg voor dementerende personen en hun omgeving
DVR000001779|True|Subsidiëring serviceflats voor ouderen|Subsidiëring serviceflats voor ouderen
DVR000001780|True|Subsidies voor erkende verenigingen van gebruikers en mantelzorgers|Subsidies voor erkende verenigingen van gebruikers en mantelzorgers
DVR000001781|True|Subsidies voor erkende lokale dienstencentra|Subsidies voor erkende lokale dienstencentra
DVR000001782|True|Subsidies voor erkende regionale dienstencentra|Subsidies voor erkende regionale dienstencentra
DVR000001783|True|Subsidies voor personenalarmtoestellen in erkende lokale dienstencentra|Subsidies voor personenalarmtoestellen in erkende lokale dienstencentra
DVR000001784|True|Subsidies voor personenalarmtoestellen in erkende regionale dienstencentra|Subsidies voor personenalarmtoestellen in erkende regionale dienstencentra
DVR000001785|True|Subsidies voor erkende diensten voor oppashulp|Subsidies voor erkende diensten voor oppashulp
DVR000001786|True|Subsidies voor erkende diensten maatschappelijk werk van het ziekenfonds|Subsidies voor erkende diensten maatschappelijk werk van het ziekenfonds
DVR000001787|True|Subsidies voor erkende diensten voor gastopvang|Subsidies voor erkende diensten voor gastopvang
DVR000001788|True|Projectsubsidies voor de thuiszorg|Projectsubsidies voor de thuiszorg
DVR000001789|True|Subsidies voor animatiewerking in woonzorgcentra|Subsidies voor animatiewerking in woonzorgcentra
DVR000001790|True|Subsidies voor erkende diensten voor gezinszorg en aanvullende thuiszorg|Subsidies voor erkende diensten voor gezinszorg en aanvullende thuiszorg
DVR000001791|True|Subsidies voor erkende diensten voor logistieke hulp|Subsidies voor erkende diensten voor logistieke hulp
DVR000001792|True|Subsidies voor Overlegplatforms Geestelijke Gezondheidszorg|Subsidies voor Overlegplatforms Geestelijke Gezondheidszorg
DVR000001793|True|Erkenning psychiatrische verzorgingstehuizen|Erkenning psychiatrische verzorgingstehuizen
DVR000001794|True|Erkenning en subsidiëring diensten voor thuisverpleging|Erkenning en subsidiëring diensten voor thuisverpleging
DVR000001795|True|Epidemiologisch onderzoek en indicatorenverzameling|Epidemiologisch onderzoek en indicatorenverzameling
DVR000001796|True|Subsidie stimulering gegevensdeling in de zorg|Subsidie stimulering gegevensdeling in de zorg
DVR000001797|True|Subsidie voor het wetenschappelijk instituut volksgezondheid|Subsidie voor het wetenschappelijk instituut volksgezondheid
DVR000001798|True|Subsidie voor demonstratieprojecten Vlaanderen medisch centrum|Subsidie voor demonstratieprojecten Vlaanderen medisch centrum
DVR000001799|True|Academische prijzen van de Koninklijke Academie voor Geneeskunde|Academische prijzen van de Koninklijke Academie voor Geneeskunde
DVR000001800|True|Subsidiëring CEBAM vzw voor het verstrekken van evidence-based gezondheidsvoorlichting|Subsidiëring CEBAM vzw voor het verstrekken van evidence-based gezondheidsvoorlichting
DVR000001803|True|Dienstencheques|Dienstencheques
DVR000001804|True|Opleidingsfonds dienstencheques|Opleidingsfonds dienstencheques
DVR000001805|False|Doelgroepkorting|Doelgroepkorting
DVR000001806|False|Sectorkorting|Sectorkorting
