Id|NaamAflopend sorteren|nieuwe verantwoordelijke entiteit|nieuwe OVO-code verantw ent
DVR000002299|Registratie als vervoerder van afvalstoffen|Openbare Vlaamse Afvalstoffenmaatschappij|OVO000091
DVR000002300|Registratie als inzamelaar, handelaar of makelaar van afvalstoffen|Openbare Vlaamse Afvalstoffenmaatschappij|OVO000091
DVR000002301|Vermindering van de onroerende voorheffing voor grootoorlogsverminkten|Vlaamse Belastingdienst|OVO000031
DVR000002302|Vergunning voor invoer, uitvoer en doorvoer van strategische goederen|Departement Buitenlandse Zaken|OVO000032
DVR000002303|Premie van de netbeheerder voor isolatie van een buitenmuur langs de buitenzijde|Vlaams Energieagentschap |OVO000090
DVR000002304|Premie van de netbeheerder voor de isolatie van een spouwmuur|Vlaams Energieagentschap |OVO000090
DVR000002305|Premie van de netbeheerder voor vloerisolatie of kelderisolatie|Vlaams Energieagentschap |OVO000090
DVR000002306|Premie van de netbeheerder voor een warmtepomp|Vlaams Energieagentschap |OVO000090
DVR000002307|Kortingbon voor beschermde afnemers bij aankoop van een energiezuinige wasmachine of koelkast|Vlaams Energieagentschap |OVO000090
DVR000002309|Speciale onderwijsleermiddelen voor leerlingen, studenten of cursisten met een handicap|Departement Onderwijs en Vorming|OVO000049
DVR000002310|FSC-boscertificaat|Agentschap voor Natuur en Bos|OVO000089
DVR000002311|Subsidies voor sportevenementen|Sport Vlaanderen|OVO000070
DVR000002312|Overnamesteun voor de jonge landbouwer|Departement Landbouw en Visserij|OVO000082
DVR000002313|Investeringssteun voor land- en tuinbouwers|Departement Landbouw en Visserij|OVO000082
DVR000002314|Investeringssteun aan de agrovoedingssector|Departement Landbouw en Visserij|OVO000082
DVR000002315|Investeringssteun aan de omkaderingssector voor land- en tuinbouw|Departement Landbouw en Visserij|OVO000082
DVR000002316|Omgevingsvergunning voor de exploitatie van ingedeelde inrichtingen of activiteiten|Departement Omgeving|OVO003323
DVR000002317|Bodemattest|Openbare Vlaamse Afvalstoffenmaatschappij|OVO000091
DVR000002318|Erkenning van controleartsen in het kader van dopingbestrijding|Sport Vlaanderen|OVO000070
DVR000002320|Subsidies voor de audiovisuele sector|Vlaams Audiovisueel Fonds|OVO000175
DVR000002321|Subsidies voor de letterensector|Vlaams Fonds voor de Letteren|OVO000174
DVR000002322|Uitwisseling van plannen van ondergrondse kabels en leidingen (Kabel en Leiding Informatieportaal KLIP)|agentschap Informatie Vlaanderen|OVO002949
DVR000002323|Premie 50+|Vlaamse Dienst voor Arbeidsbemiddeling en Beroepsopleiding|OVO000078
DVR000002324|Planologisch attest|Departement Omgeving|OVO003323
DVR000002325|Milieueffectrapport (MER)|Departement Omgeving|OVO003323
DVR000002326|Conformiteitsattest voor (huur)woningen|Wonen-Vlaanderen|OVO000106
DVR000002327|Heffing op de leegstand en verwaarlozing van bedrijfsgebouwen|Vlaamse Belastingdienst|OVO000031
DVR000002328|Erkenning als laboratorium voor de analyse van water, lucht of bodem (deeldomein bodembescherming)|Departement Omgeving|OVO003323
DVR000002329|Erkenning als opleidingscentrum brandertechnici of stookolietechnici|Departement Omgeving|OVO003323
DVR000002330|Erkenning als milieucoördinator|Departement Omgeving|OVO003323
DVR000002331|Erkenning als opleidingscentrum voor de vorming van milieucoördinatoren|Departement Omgeving|OVO003323
DVR000002332|Erkenning als veiligheidsrapporteringsdeskundige (VR-deskundige)|Departement Omgeving|OVO003323
DVR000002333|Erkenning als milieudeskundige|Departement Omgeving|OVO003323
DVR000002334|Certificering van examencentra koeltechniek|Departement Omgeving|OVO003323
DVR000002335|Erkenning van technici en bedrijven voor brandbeveiligingsapparatuur|Departement Omgeving|OVO003323
DVR000002336|Erkenning als opleidingscentrum voor klimaatregelingssytemen in bepaalde motorvoertuigen|Departement Omgeving|OVO003323
DVR000002337|Planbatenheffing, belasting op de meerwaarde van een grond na een bestemmingswijziging|Vlaamse Belastingdienst|OVO000031
DVR000002338|Erkenning als technicus vloeibare brandstof, gasvormige brandstof en verwarmingsaudit|Departement Omgeving|OVO003323
DVR000002339|Erkenning als technicus stookolietanks|Departement Omgeving|OVO003323
DVR000002340|Certificering van koeltechnici en koeltechnische bedrijven|Departement Omgeving|OVO003323
DVR000002341|Meting van straling rond zendantennes|Departement Omgeving|OVO003323
DVR000002342|Melding van de intentie tot hennepteelt|Departement Landbouw en Visserij|OVO000082
DVR000002343|Kapitaalschadecompensatie voor eigenaars van landbouwgronden|Vlaamse Landmaatschappij|OVO000094
DVR000002344|Gebruikerscompensatie voor landbouwgronden|Vlaamse Landmaatschappij|OVO000094
DVR000002345|Identificatie als landbouwer|Departement Landbouw en Visserij|OVO000082
